# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	LANGUAGE_FAMILY	COGNACY	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES
10855	NorthernHamgyong	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	64	64.S.C 64.U.V 64.N.c 64.T.C 64.U.V 64.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10856	NorthernJeolla	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	65	65.S.C 65.U.V 65.N.c 65.T.C 65.U.V 65.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10857	NorthernPyongan	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	66	66.S.C 66.U.V 66.N.c 66.T.C 66.U.V 66.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10858	SouthernChungcheong	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	80	80.S.C 80.U.V 80.N.c 80.T.C 80.U.V 80.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10859	SouthernGyeongsang	(finger)nail (n.)	sonthwup	sonthwup	s o n th/tʰ w u p	Koreanic	1189	1189	3 7 4 1 6 7 1	AXMBCYN	SUNTWYP	83	83.S.C 83.U.V 83.N.c 83.T.C 83.W.C 83.Y.V 83.P.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	sonth/tʰwup	0
10860	SouthernHamgyong	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	84	84.S.C 84.U.V 84.N.c 84.T.C 84.U.V 84.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10861	SouthernJeolla	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	85	85.S.C 85.U.V 85.N.c 85.T.C 85.U.V 85.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10862	SouthernPyongan	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	86	86.S.C 86.U.V 86.N.c 86.T.C 86.U.V 86.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10863	Even	(finger)nail (n.)	ọsta	ọsta	ọ/o s t a	Tungusic	1190	1190	7 3 1 7	XMBZ	USTA	16	16.U.V 16.S.c 16.T.C 16.A.V	1.5 1.1 1.75 0.8	ọ/osta	0
10864	EvenkiKamnigan	(finger)nail (n.)	osikta	osikta	o s i k t a	Tungusic	1190	1190	7 3 7 1 1 7	XBYMBZ	USIKTA	17	17.U.V 17.S.C 17.I.V 17.K.c 17.T.C 17.A.V	1.5 1.75 1.3 1.1 1.75 0.8	osikta	0
10865	Hezhe	(finger)nail (n.)	očahtə	očahtə	o č/tʃ a h t ə	Tungusic	1190	1190	7 1 7 3 1 7	XBYMBZ	UTAHTE	23	23.U.V 23.T.C 23.A.V 23.H.c 23.T.C 23.E.V	1.5 1.75 1.3 1.1 1.75 0.8	oč/tʃahtə	0
10866	KurUrmi	(finger)nail (n.)	os'akta	os'akta	o s a k t a	Tungusic	1190	1190	7 3 7 1 1 7	XBYMBZ	USAKTA	46	46.U.V 46.S.C 46.A.V 46.K.c 46.T.C 46.A.V	1.5 1.75 1.3 1.1 1.75 0.8	osakta	0
10867	NanaiBikin	(finger)nail (n.)	hosakta ~ hosahta ~ hosịkta ~ hosịhta	hosakta	h o s a k t a	Tungusic	1190	1190	3 7 3 7 1 1 7	AXBYMBZ	HUSAKTA	55	55.H.C 55.U.V 55.S.C 55.A.V 55.K.c 55.T.C 55.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	hosakta	0
10868	NanaiMiddleAmur	(finger)nail (n.)	hosakta ~ hosekta	hosakta	h o s a k t a	Tungusic	1190	1190	3 7 3 7 1 1 7	AXBYMBZ	HUSAKTA	56	56.H.C 56.U.V 56.S.C 56.A.V 56.K.c 56.T.C 56.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	hosakta	1
10869	Negidal	(finger)nail (n.)	oːtta	oːtta	oː tː a	Tungusic	1190	1190	7 1 7	XBZ	UTA	57	57.U.V 57.T.C 57.A.V	1.5 1.75 0.8	oːtːa	0
10870	NorthernEvenkiTura	(finger)nail (n.)	osikta	osikta	o s i k t a	Tungusic	1190	1190	7 3 7 1 1 7	XBYMBZ	USIKTA	61	61.U.V 61.S.C 61.I.V 61.K.c 61.T.C 61.A.V	1.5 1.75 1.3 1.1 1.75 0.8	osikta	1
10871	NorthernEvenkiTutonchany	(finger)nail (n.)	ohiːkta	ohiːkta	o h iː k t a	Tungusic	1190	1190	7 3 7 1 1 7	XBYMBZ	UHIKTA	62	62.U.V 62.H.C 62.I.V 62.K.c 62.T.C 62.A.V	1.5 1.75 1.3 1.1 1.75 0.8	ohiːkta	0
10872	Oroch	(finger)nail (n.)	hosikta	hosikta	h o s i k t a	Tungusic	1190	1190	3 7 3 7 1 1 7	AXBYMBZ	HUSIKTA	72	72.H.C 72.U.V 72.S.C 72.I.V 72.K.c 72.T.C 72.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	hosikta	1
10873	Orok	(finger)nail (n.)	hosikta	hosikta	h o s i k t a	Tungusic	1190	1190	3 7 3 7 1 1 7	AXBYMBZ	HUSIKTA	73	73.H.C 73.U.V 73.S.C 73.I.V 73.K.c 73.T.C 73.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	hosikta	1
10874	Oroqen	(finger)nail (n.)	ụšekta	ụšekta	ụ/u š/ʃ e k t a	Tungusic	1190	1190	7 3 7 1 1 7	XBYMBZ	YSEKTA	74	74.Y.V 74.S.C 74.E.V 74.K.c 74.T.C 74.A.V	1.5 1.75 1.3 1.1 1.75 0.8	ụ/uš/ʃekta	0
10875	Solon	(finger)nail (n.)	ụšitt	ụšitt	ụ/u š/ʃ i tː	Tungusic	1190	1190	7 3 7 1	XBYN	YSIT	78	78.Y.V 78.S.C 78.I.V 78.T.c	1.5 1.75 1.3 0.8	ụ/uš/ʃitː	0
10876	SouthernEvenkiChiringda	(finger)nail (n.)	ohikta	ohikta	o h i k t a	Tungusic	1190	1190	7 3 7 1 1 7	XBYMBZ	UHIKTA	81	81.U.V 81.H.C 81.I.V 81.K.c 81.T.C 81.A.V	1.5 1.75 1.3 1.1 1.75 0.8	ohikta	1
10877	StonyEvenkiPTPodkamennayaTunguska	(finger)nail (n.)	osiːkta	osiːkta	o s iː k t a	Tungusic	1190	1190	7 3 7 1 1 7	XBYMBZ	USIKTA	87	87.U.V 87.S.C 87.I.V 87.K.c 87.T.C 87.A.V	1.5 1.75 1.3 1.1 1.75 0.8	osiːkta	0
10878	Udihe	(finger)nail (n.)	wajkta	wajkta	w a j k t a	Tungusic	1190	1190	6 7 6 1 1 7	AXLMBZ	WAJKTA	92	92.W.C 92.A.V 92.J.c 92.K.c 92.T.C 92.A.V	2.0 1.5 1.1 1.1 1.75 0.8	wajkta	1
10879	Ulcha	(finger)nail (n.)	hosta	hosta	h o s t a	Tungusic	1190	1190	3 7 3 1 7	AXMBZ	HUSTA	93	93.H.C 93.U.V 93.S.c 93.T.C 93.A.V	2.0 1.5 1.1 1.75 0.8	hosta	1
10880	Jurchen	(finger)nail (n.)	hitahun	hitahun	h i t a h u n	Tungusic	1191	1191	3 7 1 7 3 7 4	AXBYBYN	HITAHYN	28	28.H.C 28.I.V 28.T.C 28.A.V 28.H.C 28.Y.V 28.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	hitahun	0
10881	Manchu	(finger)nail (n.)	hitahuːn	hitahuːn	h i t a h uː n	Tungusic	1191	1191	3 7 1 7 3 7 4	AXBYBYN	HITAHYN	48	48.H.C 48.I.V 48.T.C 48.A.V 48.H.C 48.Y.V 48.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	hitahuːn	0
10882	Xibe	(finger)nail (n.)	köthun	köthun	k ö/œ tʰ u n	Tungusic	1191	1191	1 7 1 7 4	AXBYN	KUTYN	97	97.K.C 97.U.V 97.T.C 97.Y.V 97.N.c	2.0 1.5 1.75 1.3 0.8	kö/œtʰun	0
10883	Baoan	(finger)nail (n.)	Gɵmsɵŋ	Gɵmsɵŋ	ɢ ɵ m s ɵ ŋ	Mongolic	1192	1192	1 7 4 3 7 4	AXMBYN	KUMSUN	5	5.K.C 5.U.V 5.M.c 5.S.C 5.U.V 5.N.c	2.0 1.5 1.1 1.75 1.3 0.8	ɢɵmsɵŋ	0
10884	Buriat	(finger)nail (n.)	x'umhan	x'umhan	x u mh/mʰ a n	Mongolic	1192	1192	3 7 4 7 4	AXBYN	GYMAN	8	8.G.C 8.Y.V 8.M.C 8.A.V 8.N.c	2.0 1.5 1.75 1.3 0.8	xumh/mʰan	0
10885	Dagur	(finger)nail (n.)	kimčə	kimčə	k i m č/tʃ ə	Mongolic	1192	1192	1 7 4 1 7	AXMBZ	KIMTE	12	12.K.C 12.I.V 12.M.c 12.T.C 12.E.V	2.0 1.5 1.1 1.75 0.8	kimč/tʃə	0
10886	Dongxian	(finger)nail (n.)	Gɯmusun	Gɯmusun	ɢ ɯ m u s u n	Mongolic	1192	1192	1 7 4 7 3 7 4	AXBYBYN	KIMYSYN	14	14.K.C 14.I.V 14.M.C 14.Y.V 14.S.C 14.Y.V 14.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	ɢɯmusun	0
10887	Huzhu	(finger)nail (n.)	tɕimudzə	tɕimudzə	tɕ i m u d z ə	Mongolic	1192	1192	2 7 4 7 1 3 7	AXBYBCZ	CIMYTSE	24	24.C.C 24.I.V 24.M.C 24.Y.V 24.T.C 24.S.C 24.E.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	tɕimudzə	0
10888	Kalmyck	(finger)nail (n.)	xumsn	xumsn	x u m s n	Mongolic	1192	1192	3 7 4 3 4	AXMBC	GYMSN	30	30.G.C 30.Y.V 30.M.c 30.S.C 30.N.C	2.0 1.5 1.1 1.75 1.5	xumsn	0
10889	Kamnigan	(finger)nail (n.)	kimuhun	kimuhun	k i m u h u n	Mongolic	1192	1192	1 7 4 7 3 7 4	AXBYBYN	KIMYHYN	31	31.K.C 31.I.V 31.M.C 31.Y.V 31.H.C 31.Y.V 31.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	kimuhun	0
10890	Kangjia	(finger)nail (n.)	gemesun, gimesun	gemesun	g e m e s u n	Mongolic	1192	1192	1 7 4 7 3 7 4	AXBYBYN	KEMESYN	32	32.K.C 32.E.V 32.M.C 32.E.V 32.S.C 32.Y.V 32.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	gemesun	0
10891	Khalkha	(finger)nail (n.)	xums(an)	xums	x u m s	Mongolic	1192	1192	3 7 4 3	AXLN	GYMS	40	40.G.C 40.Y.V 40.M.c 40.S.c	2.0 1.5 1.1 0.8	xums	0
10892	MiddleMongolianMuqaddimataladab	(finger)nail (n.)	qimusun	qimusun	q i m u s u n	Mongolic	1192	1192	1 7 4 7 3 7 4	AXBYBYN	KIMYSYN	50	50.K.C 50.I.V 50.M.C 50.Y.V 50.S.C 50.Y.V 50.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	qimusun	0
10893	MiddleMongolianSecretHistory	(finger)nail (n.)	kimul	kimul	k i m u l	Mongolic	1192	1192	1 7 4 7 5	AXBYN	KIMYL	51	51.K.C 51.I.V 51.M.C 51.Y.V 51.L.c	2.0 1.5 1.75 1.3 0.8	kimul	0
10894	Minhe	(finger)nail (n.)	chenpuzi	chenpuzi	ch/tʃ e n p u z i	Mongolic	1192	1192	1 7 4 1 7 3 7	AXMBYBZ	TENPYSI	52	52.T.C 52.E.V 52.N.c 52.P.C 52.Y.V 52.S.C 52.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	ch/tʃenpuzi	0
10895	Moghol	(finger)nail (n.)	qimsun	qimsun	q i m s u n	Mongolic	1192	1192	1 7 4 3 7 4	AXMBYN	KIMSYN	54	54.K.C 54.I.V 54.M.c 54.S.C 54.Y.V 54.N.c	2.0 1.5 1.1 1.75 1.3 0.8	qimsun	0
10896	Oirat	(finger)nail (n.)	xumsan	xumsan	x u m s a n	Mongolic	1192	1192	3 7 4 3 7 4	AXMBYN	GYMSAN	67	67.G.C 67.Y.V 67.M.c 67.S.C 67.A.V 67.N.c	2.0 1.5 1.1 1.75 1.3 0.8	xumsan	0
10897	ShiraYughur	(finger)nail (n.)	xəməsən	xəməsən	x ə m ə s ə n	Mongolic	1192	1192	3 7 4 7 3 7 4	AXBYBYN	GEMESEN	76	76.G.C 76.E.V 76.M.C 76.E.V 76.S.C 76.E.V 76.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	xəməsən	0
10898	Azeri	(finger)nail (n.)	dïrnaġ	dïrnaġ	d ï/ɨ r n a ɢ	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	4	4.T.C 4.I.V 4.R.c 4.N.C 4.A.V 4.K.c	2.0 1.5 1.1 1.75 1.3 0.8	dï/ɨrnaɢ	0
10899	Bashkir	(finger)nail (n.)	tïrnaḳ	tïrnaḳ	t ï/ɨ r n a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	7	7.T.C 7.I.V 7.R.c 7.N.C 7.A.V 7.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaḳ/q	0
10900	Chuvash	(finger)nail (n.)	čɘrne	čɘrne	č/tʃ ɘ r n e	Turkic	1193	1193	1 7 5 4 7	AXMBZ	TERNE	9	9.T.C 9.E.V 9.R.c 9.N.C 9.E.V	2.0 1.5 1.1 1.75 0.8	č/tʃɘrne	0
10901	CodexCumanicus	(finger)nail (n.)	termac	termac	t e r m a c/ts	Turkic	1193	1193	1 7 5 4 7 2	AXMBYN	TERMAC	10	10.T.C 10.E.V 10.R.c 10.M.C 10.A.V 10.C.c	2.0 1.5 1.1 1.75 1.3 0.8	termac/ts	0
10902	CrimeanTatar	(finger)nail (n.)	tïrnaḳ	tïrnaḳ	t ï/ɨ r n a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	11	11.T.C 11.I.V 11.R.c 11.N.C 11.A.V 11.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaḳ/q	0
10903	Dolgan	(finger)nail (n.)	tïŋïrak	tïŋïrak	t ï/ɨ ŋ ï/ɨ r a k	Turkic	1193	1193	1 7 4 7 5 7 1	AXBYBYN	TINIRAK	13	13.T.C 13.I.V 13.N.C 13.I.V 13.R.C 13.A.V 13.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	tï/ɨŋï/ɨrak	0
10904	Gagauz	(finger)nail (n.)	tïrnak	tïrnak	t ï/ɨ r n a k	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	19	19.T.C 19.I.V 19.R.c 19.N.C 19.A.V 19.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnak	0
10905	KarachayBalkar	(finger)nail (n.)	tïrnaḳ	tïrnaḳ	t ï/ɨ r n a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	33	33.T.C 33.I.V 33.R.c 33.N.C 33.A.V 33.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaḳ/q	0
10906	Karaim	(finger)nail (n.)	tïrnak	tïrnak	t ï/ɨ r n a k	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	34	34.T.C 34.I.V 34.R.c 34.N.C 34.A.V 34.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnak	0
10907	KaraKalpak	(finger)nail (n.)	tïrnaḳ	tïrnaḳ	t ï/ɨ r n a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	35	35.T.C 35.I.V 35.R.c 35.N.C 35.A.V 35.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaḳ/q	0
10908	Kazakh	(finger)nail (n.)	tïrnaḳ	tïrnaḳ	t ï/ɨ r n a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	36	36.T.C 36.I.V 36.R.c 36.N.C 36.A.V 36.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaḳ/q	0
10909	KazanTatar	(finger)nail (n.)	tïrnaḳ	tïrnaḳ	t ï/ɨ r n a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	37	37.T.C 37.I.V 37.R.c 37.N.C 37.A.V 37.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaḳ/q	0
10910	Khakas	(finger)nail (n.)	tïrɣaχ	tïrɣaχ	t ï/ɨ r ɣ a χ	Turkic	1193	1193	1 7 5 3 7 3	AXMBYN	TIRGAG	38	38.T.C 38.I.V 38.R.c 38.G.C 38.A.V 38.G.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrɣaχ	0
10911	Khalaj	(finger)nail (n.)	tïrnaḳ	tïrnaḳ	t ï/ɨ r n a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	39	39.T.C 39.I.V 39.R.c 39.N.C 39.A.V 39.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaḳ/q	0
10912	Kirghiz	(finger)nail (n.)	tïrmaḳ	tïrmaḳ	t ï/ɨ r m a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRMAK	41	41.T.C 41.I.V 41.R.c 41.M.C 41.A.V 41.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrmaḳ/q	0
10913	Kumyk	(finger)nail (n.)	tïrnaḳ	tïrnaḳ	t ï/ɨ r n a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	45	45.T.C 45.I.V 45.R.c 45.N.C 45.A.V 45.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaḳ/q	0
10914	MiddleChulym	(finger)nail (n.)	tərɣaḳ	tərɣaḳ	t ə r ɣ a ḳ/q	Turkic	1193	1193	1 7 5 3 7 1	AXMBYN	TERGAK	49	49.T.C 49.E.V 49.R.c 49.G.C 49.A.V 49.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tərɣaḳ/q	0
10915	Nogai	(finger)nail (n.)	tïrnaḳ	tïrnaḳ	t ï/ɨ r n a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	58	58.T.C 58.I.V 58.R.c 58.N.C 58.A.V 58.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaḳ/q	0
10916	NorthAltai	(finger)nail (n.)	tïrbaḳ, tïrɣaḳ	tïrbaḳ	t ï/ɨ r b a ḳ/q	Turkic	1193	1193	1 7 5 1 7 1	AXMBYN	TIRPAK	59	59.T.C 59.I.V 59.R.c 59.P.C 59.A.V 59.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrbaḳ/q	0
10917	OldTurkic	(finger)nail (n.)	tïrŋaḳ, tïŋraḳ	tïrŋaḳ	t ï/ɨ r ŋ a ḳ/q	Turkic	1193	1193	1 7 5 4 7 1	AXMBYN	TIRNAK	71	71.T.C 71.I.V 71.R.c 71.N.C 71.A.V 71.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrŋaḳ/q	0
10918	Salar	(finger)nail (n.)	tïrnaχ	tïrnaχ	t ï/ɨ r n a χ	Turkic	1193	1193	1 7 5 4 7 3	AXMBYN	TIRNAG	75	75.T.C 75.I.V 75.R.c 75.N.C 75.A.V 75.G.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrnaχ	0
10919	Shor	(finger)nail (n.)	tïrbaḳ	tïrbaḳ	t ï/ɨ r b a ḳ/q	Turkic	1193	1193	1 7 5 1 7 1	AXMBYN	TIRPAK	77	77.T.C 77.I.V 77.R.c 77.P.C 77.A.V 77.K.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrbaḳ/q	0
10920	SouthAltai	(finger)nail (n.)	tïrmaχ	tïrmaχ	t ï/ɨ r m a χ	Turkic	1193	1193	1 7 5 4 7 3	AXMBYN	TIRMAG	79	79.T.C 79.I.V 79.R.c 79.M.C 79.A.V 79.G.c	2.0 1.5 1.1 1.75 1.3 0.8	tï/ɨrmaχ	0
10921	Tofa	(finger)nail (n.)	dïrbaḳ	dïrbaḳ	d ï/ɨ r b a ḳ/q	Turkic	1193	1193	1 7 5 1 7 1	AXMBYN	TIRPAK	88	88.T.C 88.I.V 88.R.c 88.P.C 88.A.V 88.K.c	2.0 1.5 1.1 1.75 1.3 0.8	dï/ɨrbaḳ/q	0
